"sku","sales_channel","amount"
"BL_DCDR","linenthings","1340.0000"
"BL_DCDS","purelinen","670.0000"
"BL_DCDS","linenthings","1340.0000"
"BL_DCDSG","purelinen","670.0000"
"BL_DCDSG","linenthings","1340.0000"
"BL_D_DCK","purelinen","390.0000"
"BL_D_DCK","linenthings","1200.0000"
"BL_D_DCQ","purelinen","350.0000"
"BL_D_DCQ","linenthings","1100.0000"
"BL_D_PC48","purelinen","60.0000"
"BL_D_PC48","linenthings","150.0000"
"BL_D_PC50x90","purelinen","90.0000"
"BL_D_PC50x90","linenthings","160.0000"
"BL_D_PC65","purelinen","60.0000"
"BL_D_PC65","linenthings","150.0000"
"BL_D_TSK","purelinen","290.0000"
"BL_D_TSK","linenthings","800.0000"
"BL_D_TSQ","purelinen","250.0000"
"BL_D_TSQ","linenthings","700.0000"
"BL_FS_NDL","purelinen","115.0000"
"BL_FS_NDL","linenthings","450.0000"
"BL_FTD_NKL","purelinen","280.0000"
"BL_FTD_NKL","linenthings","650.0000"
"BL_FTD_NKSL","purelinen","250.0000"
"BL_FTD_NKSL","linenthings","400.0000"
"BL_FTD_NQL","purelinen","270.0000"
"BL_FTD_NQL","linenthings","550.0000"
"BL_FTD_NSL","purelinen","240.0000"
"BL_FTD_NSL","linenthings","350.0000"
"BL_FTD_WDL","purelinen","260.0000"
"BL_FTD_WDL","linenthings","450.0000"
"BL_FTD_WKL","purelinen","280.0000"
"BL_FTD_WKL","linenthings","650.0000"
"BL_FTD_WKS","purelinen","105.0000"
"BL_FTD_WKS","linenthings","234.9900"
"BL_FTD_WQL","purelinen","270.0000"
"BL_FTD_WQL","linenthings","550.0000"
"BL_FTD_WSL","purelinen","99.0000"
"BL_FTD_WSL","linenthings","219.9900"
"BL_HEL_DCK","purelinen","275.0000"
"BL_HEL_DCK","linenthings","275.0000"
"BL_HEL_DCQ","purelinen","250.0000"
"BL_HEL_DCQ","linenthings","250.0000"
"BL_HEL_FSK","purelinen","195.0000"
"BL_HEL_FSK","linenthings","195.0000"
"BL_HEL_FSQ","purelinen","180.0000"
"BL_HEL_FSQ","linenthings","180.0000"
"BL_HEL_PC48","purelinen","50.0000"
"BL_HEL_PC48","linenthings","50.0000"
"BL_HEL_PC48S","purelinen","100.0000"
"BL_HEL_PC48S","linenthings","220.0000"
"BL_HEL_PC65","purelinen","50.0000"
"BL_HEL_PC65","linenthings","50.0000"
"BL_HEL_PC65S","purelinen","100.0000"
"BL_HEL_PC65S","linenthings","220.0000"
"BL_HEL_TSK","purelinen","195.0000"
"BL_HEL_TSK","linenthings","195.0000"
"BL_HEL_TSQ","purelinen","180.0000"
"BL_HEL_TSQ","linenthings","180.0000"
"BL_IMP","linenthings",NULL
"BL_IMP_PCIB65","purelinen","49.0000"
"BL_IMP_PCIB65","linenthings","240.0000"
"BL_IMP_PCSG65","linenthings","240.0000"
"BL_NING","purelinen",NULL
"BL_NING","linenthings",NULL
"BL_NING_BEP220","purelinen","569.0000"
"BL_NING_BEP220","linenthings","569.0000"
"BL_NING_BR","purelinen",NULL
"BL_NING_BR","linenthings",NULL
"BL_NING_BRB220","purelinen","569.0000"
"BL_NING_BRB220","linenthings","569.0000"
"BL_NING_BRB260","purelinen","579.0000"
"BL_NING_BRB260","linenthings","579.0000"
"BL_NING_BRG220","purelinen","569.0000"
"BL_NING_BRG220","linenthings","569.0000"
"BL_NING_BRG260","purelinen","579.0000"
"BL_NING_BRG260","linenthings","579.0000"
"BL_NING_BRP260","purelinen","579.0000"
"BL_NING_BRP260","linenthings","579.0000"
"BL_NING_DCBK","purelinen","1300.0000"
"BL_NING_DCBK","linenthings","1300.0000"
"BL_NING_DCBQ","purelinen","1300.0000"
"BL_NING_DCBQ","linenthings","1300.0000"
"BL_NING_DCGK","purelinen","1300.0000"
"BL_NING_DCGK","linenthings","1300.0000"
"BL_NING_DCGQ","purelinen","1300.0000"
"BL_NING_DCGQ","linenthings","1300.0000"
"BL_NING_DCPK","purelinen","1300.0000"
"BL_NING_DCPK","linenthings","1300.0000"
"BL_NING_DCPQ","purelinen","1300.0000"
"BL_NING_DCPQ","linenthings","1300.0000"
"BL_NING_PCB48","purelinen","185.0000"
"BL_NING_PCB48","linenthings","185.0000"
"BL_NING_PCB65","purelinen","199.0000"
"BL_NING_PCB65","linenthings","199.0000"
"BL_NING_PCG48","purelinen","185.0000"
"BL_NING_PCG48","linenthings","185.0000"
"BL_NING_PCG65","purelinen","199.0000"
"BL_NING_PCG65","linenthings","199.0000"
"BL_NING_PCP","purelinen","185.0000"
"BL_NING_PCP","linenthings","185.0000"
"BL_NING_PCP65","purelinen","199.0000"
"BL_NING_PCP65","linenthings","199.0000"
"BL_NING_PC_B48X73","purelinen","200.0000"
"BL_NING_PC_B48X73","linenthings","200.0000"
"BL_NING_TSBK","purelinen","1050.0000"
"BL_NING_TSBK","linenthings","1050.0000"
"BL_NING_TSBQ","purelinen","1050.0000"
"BL_NING_TSBQ","linenthings","1050.0000"
"BL_NING_TSGK","purelinen","1050.0000"
"BL_NING_TSGK","linenthings","1050.0000"
"BL_NING_TSGQ","purelinen","1050.0000"
"BL_NING_TSGQ","linenthings","1050.0000"
"BL_NING_TSPK","purelinen","1050.0000"
"BL_NING_TSPK","linenthings","1050.0000"
"BL_NING_TSPQ","purelinen","1050.0000"
"BL_NING_TSPQ","linenthings","1050.0000"
"BL_PEL","purelinen",NULL
"BL_PEL","linenthings",NULL
"BL_PEL_DCNQL","purelinen","360.0000"
"BL_PEL_DCNQL","linenthings","800.0000"
"BL_PEL_DCSNDL","purelinen","300.0000"
