Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,,,Product Image 1 Url,Product Image 2 Url
,bl-d-p,Diamantina Pillow Case,,Diamantina Pillow Case With Large French Hem Stitched Detail Colour Optical White 50x90,published,,,,,,,,,,,,,TRUE,,,Diamantina Pillow Case With Large French Hem Stitched Detail Colour Optical White 50x90,Size,50cm x 50cm,,,,BL_D_PC50x90,,FALSE,TRUE,,,,,,,,,,160,,,,
,bl-d-ts,Diamantina Top Sheet,,Diamantina Top Sheet Composition 100% linen Colour Optical White King Size 280 x 270 ,published,,,,,,,,,,,,,TRUE,,,Diamantina Top Sheet  Colour Optical White King Size 280 x 270 ,Size,King  - 280cm x 270cm,,,,BL_D_TSK,,FALSE,TRUE,,,,,,,,,,800,,,,
,bl-d-ts,Diamantina Top Sheet,,Diamantina Top Sheet Composition 100% linen Colour Optical White Queen Size 250 x 270 ,published,,,,,,,,,,,,,TRUE,,,Diamantina Top Sheet  Colour Optical White Queen Size 250 x 270 ,Size,Queen - 250cm x 270cm,,,,BL_D_TSQ,,FALSE,TRUE,,,,,,,,,,700,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet  Colour Natural  Size King 180x203+50 ,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour Natural  Size King 180x203+50 ,Colour,Natural Flax,Size,King - 180cm x 203cm + 50cm,,BL_FTD_NKL,,FALSE,TRUE,,,,,,,,,,650,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour Natural Size King Single 107x203x50,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour Natural Size King Single 107x203x50 ,Colour,Natural Flax,Size,King Sinlge - 107cm x 203cm + 50cm,,BL_FTD_NKSL,,FALSE,TRUE,,,,,,,,,,400,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour  Natural Size Queen 152x203+50 ,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour Natural Size Queen 152x203+50 ,Colour,Natural Flax,Size,Queen - 152cm x 203cm + 50cm,,BL_FTD_NQL,,FALSE,TRUE,,,,,,,,,,550,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour Natural  Size Single 91x193x50,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour Natural  Size Single 91x193x50 ,Colour,Natural Flax,Size,Single - 91cm x 193cm + 50cm,,BL_FTD_NSL,,FALSE,TRUE,,,,,,,,,,350,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour  Optical White Size Double 137x193x50,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour  Natural Size Double 137x193x50 ,Colour,Natural Flax,Size,Double - 137cm x 193cm + 50cm,,BL_FTD_NDL,,FALSE,TRUE,,,,,,,,,,450,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour  Optical White Size Double 137x193x50,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour  Optical White Size Double 137x193x50 ,Colour,Optical White,Size,Double - 137cm x 193cm + 50cm,,BL_FTD_WDL,,FALSE,TRUE,,,,,,,,,,450,,,,
,bl-ftd,Pure Linen Fitted Sheet,,Fitted Sheet Composition 100% linen Colour  Optical White Size King 180x203+50 ,published,,,,,,,,,,,,,TRUE,,,Fitted Sheet  Colour  Optical White Size King 180x203+50,Colour,Optical White,Size,King - 180cm x 203cm + 50cm,,BL_FTD_WKL,,FALSE,TRUE,,,,,,,,,,650,,,,
